Ticker,Period,Cost of Goods & Services
Micron Technology,2023 Q1,3192.0
Micron Technology,2023 Q2,4899.0
Micron Technology,2023 Q3,4420.0
Micron Technology,2023 Q4,4445.0
Micron Technology,2024 Q1,4761.0
Micron Technology,2024 Q2,4745.0
Micron Technology,2024 Q3,4979.0
Micron Technology,2024 Q4,5013.0
Micron Technology,2025 Q1,5361.0
Micron Technology,2025 Q2,5090.0
Micron Technology,2025 Q3,5793.0
Micron Technology,2025 Q4,6261.0
Micron Technology,2026 Q1,5997.0
Micron Technology,2026 Q2,6105.0
