day,month,year,daily_policy_index
1,1,2024,110.48
2,1,2024,138.57
3,1,2024,162.46
4,1,2024,118.85
5,1,2024,106.49
6,1,2024,145.36
7,1,2024,10.92
8,1,2024,153.56
9,1,2024,1026.38
10,1,2024,73.6
11,1,2024,57.0
12,1,2024,76.85
13,1,2024,92.97
14,1,2024,126.89
15,1,2024,80.09
16,1,2024,248.39
17,1,2024,69.96
18,1,2024,121.41
19,1,2024,147.36
20,1,2024,57.76
21,1,2024,142.04
22,1,2024,175.55
23,1,2024,71.62
24,1,2024,91.92
25,1,2024,114.57
26,1,2024,85.29
27,1,2024,80.68
28,1,2024,109.4
29,1,2024,212.58
30,1,2024,144.27
31,1,2024,81.76
1,2,2024,97.99
2,2,2024,55.14
3,2,2024,95.61
4,2,2024,213.37
5,2,2024,209.6
6,2,2024,109.35
7,2,2024,178.57
8,2,2024,153.72
9,2,2024,67.61
10,2,2024,55.65
11,2,2024,216.31
12,2,2024,215.18
13,2,2024,183.22
14,2,2024,86.93
15,2,2024,83.03
16,2,2024,58.32
17,2,2024,147.98
18,2,2024,309.05
19,2,2024,88.77
20,2,2024,149.95
21,2,2024,111.52
22,2,2024,70.29
23,2,2024,117.11
24,2,2024,192.21
25,2,2024,68.12
26,2,2024,167.77
27,2,2024,117.39
28,2,2024,143.19
29,2,2024,105.86
1,3,2024,58.59
2,3,2024,72.85
3,3,2024,85.57
4,3,2024,185.31
5,3,2024,98.25
6,3,2024,107.93
7,3,2024,56.71
8,3,2024,36.66
9,3,2024,230.58
10,3,2024,221.18
11,3,2024,159.06
12,3,2024,104.69
13,3,2024,159.16
14,3,2024,69.68
15,3,2024,181.53
16,3,2024,110.1
17,3,2024,180.66
18,3,2024,140.24
19,3,2024,91.96
20,3,2024,202.01
21,3,2024,77.59
22,3,2024,73.05
23,3,2024,147.64
24,3,2024,93.1
25,3,2024,79.67
26,3,2024,85.54
27,3,2024,97.9
28,3,2024,59.31
29,3,2024,90.04
30,3,2024,49.51
31,3,2024,89.56
1,4,2024,113.74
2,4,2024,64.34
3,4,2024,87.02
4,4,2024,79.84
5,4,2024,65.9
6,4,2024,286.44
7,4,2024,136.54
8,4,2024,96.86
9,4,2024,127.5
10,4,2024,134.32
11,4,2024,116.38
12,4,2024,164.38
13,4,2024,83.15
14,4,2024,351.28
15,4,2024,148.0
16,4,2024,205.0
17,4,2024,89.86
18,4,2024,73.0
19,4,2024,69.55
20,4,2024,105.0
21,4,2024,129.65
22,4,2024,63.52
23,4,2024,50.68
24,4,2024,103.13
25,4,2024,228.77
26,4,2024,71.47
27,4,2024,53.88
28,4,2024,105.58
29,4,2024,80.35
30,4,2024,111.88
1,5,2024,52.26
2,5,2024,80.5
3,5,2024,55.72
4,5,2024,43.53
5,5,2024,165.5
6,5,2024,76.56
7,5,2024,38.92
8,5,2024,35.93
9,5,2024,51.54
10,5,2024,103.08
11,5,2024,262.99
12,5,2024,245.08
13,5,2024,36.94
14,5,2024,135.19
15,5,2024,96.41
16,5,2024,55.17
17,5,2024,54.29
18,5,2024,71.86
19,5,2024,228.26
20,5,2024,92.53
21,5,2024,62.26
22,5,2024,55.15
23,5,2024,77.2
24,5,2024,153.24
25,5,2024,58.73
26,5,2024,40.78
27,5,2024,52.47
28,5,2024,56.95
29,5,2024,123.02
30,5,2024,92.78
31,5,2024,72.4
1,6,2024,87.64
2,6,2024,58.35
3,6,2024,191.95
4,6,2024,67.8
5,6,2024,35.32
6,6,2024,80.15
7,6,2024,55.59
8,6,2024,102.97
9,6,2024,82.89
10,6,2024,92.67
11,6,2024,59.32
12,6,2024,100.25
13,6,2024,94.21
14,6,2024,88.92
15,6,2024,62.45
16,6,2024,48.63
17,6,2024,64.98
18,6,2024,72.11
19,6,2024,52.65
20,6,2024,89.94
21,6,2024,76.15
22,6,2024,109.47
23,6,2024,197.14
24,6,2024,99.49
25,6,2024,49.78
26,6,2024,66.89
27,6,2024,88.91
28,6,2024,56.38
29,6,2024,134.0
30,6,2024,130.99
1,7,2024,244.08
2,7,2024,41.45
3,7,2024,58.82
4,7,2024,33.75
5,7,2024,778.95
6,7,2024,307.38
7,7,2024,104.43
8,7,2024,109.45
9,7,2024,85.73
10,7,2024,182.9
11,7,2024,29.57
12,7,2024,109.49
13,7,2024,275.41
14,7,2024,182.93
15,7,2024,99.68
16,7,2024,96.85
17,7,2024,129.38
18,7,2024,376.84
19,7,2024,88.76
20,7,2024,87.09
21,7,2024,190.99
22,7,2024,78.76
23,7,2024,141.71
24,7,2024,79.17
25,7,2024,39.71
26,7,2024,68.12
27,7,2024,78.03
28,7,2024,174.08
29,7,2024,66.23
30,7,2024,73.45
31,7,2024,53.04
1,8,2024,60.98
2,8,2024,97.69
3,8,2024,61.69
4,8,2024,89.47
5,8,2024,150.14
6,8,2024,207.85
7,8,2024,53.33
8,8,2024,18.65
9,8,2024,122.7
10,8,2024,81.78
11,8,2024,223.61
12,8,2024,76.44
13,8,2024,88.36
14,8,2024,120.48
15,8,2024,221.13
16,8,2024,194.96
17,8,2024,142.54
18,8,2024,300.83
19,8,2024,88.54
20,8,2024,54.32
21,8,2024,116.81
22,8,2024,87.14
23,8,2024,69.6
24,8,2024,30.03
25,8,2024,100.22
26,8,2024,63.73
27,8,2024,35.71
28,8,2024,64.09
29,8,2024,92.28
30,8,2024,60.89
31,8,2024,66.18
1,9,2024,137.9
2,9,2024,601.26
3,9,2024,70.88
4,9,2024,92.74
5,9,2024,54.83
6,9,2024,103.01
7,9,2024,57.59
8,9,2024,136.16
9,9,2024,55.57
10,9,2024,117.97
11,9,2024,38.01
12,9,2024,58.47
13,9,2024,92.86
14,9,2024,62.32
15,9,2024,76.57
16,9,2024,59.1
17,9,2024,110.52
18,9,2024,152.08
19,9,2024,126.07
20,9,2024,66.37
21,9,2024,77.27
22,9,2024,56.52
23,9,2024,73.57
24,9,2024,72.44
25,9,2024,103.88
26,9,2024,82.08
27,9,2024,90.48
28,9,2024,53.03
29,9,2024,31.33
30,9,2024,116.24
1,10,2024,58.83
2,10,2024,133.57
