模型,收缩参数,总准确率,平衡准确率
LDA,0.0,0.947731260967661,0.9503275288792739
LDA,0.02,0.9479819503634996,0.9505797674970062
LDA,0.05,0.9481072950614189,0.9506730858993953
LDA,0.08,0.948608673853096,0.9511447622283827
LDA,0.12,0.9488593632489346,0.9514626026590696
LDA,0.2,0.948608673853096,0.9512759658542916
LDA,0.4,0.9502381549260466,0.9529155168695521
LDA,0.6,0.9506141890198044,0.9532610738896734
QDA,0.0,1.0,1.0
QDA,0.02,1.0,1.0
QDA,0.05,1.0,1.0
QDA,0.08,1.0,1.0
QDA,0.12,1.0,1.0
QDA,0.2,1.0,1.0
QDA,0.4,1.0,1.0
QDA,0.6,1.0,1.0
